Position,lat,long,MonitoringLocation
Before,40.2192,-74.7783,21PA_WQX-WQN0101
Before ,40.22,-74.77805,USGS-01463500
In,40.17,-74.734848,31DELRBC_WQX-332068
After,40.127648,-74.815065,31DELRBC_WQX-332064
